entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2026-06-18,TITAGARH.NS,76.0,76.0,0.0,1
2026-06-25,INDIGO.NS,66.0,65.0,-1.0,1
2026-06-25,EMCURE.NS,84.0,84.0,0.0,1
2026-06-25,PAGEIND.NS,59.0,59.0,0.0,1
2026-06-25,BLUEJET.NS,54.0,53.0,-1.0,1
2026-06-25,SONACOMS.NS,81.0,81.0,0.0,1
2026-06-25,OFSS.NS,91.0,91.0,0.0,1
2026-07-10,ANANTRAJ.NS,56.0,56.0,0.0,1
2026-07-10,BLUEJET.NS,78.0,78.0,0.0,1
2026-07-10,UTIAMC.NS,19.0,19.0,0.0,1
2026-07-10,SOBHA.NS,58.0,58.0,0.0,1
2026-07-10,GRAVITA.NS,66.0,66.0,0.0,1
2026-07-17,SBICARD.NS,9.0,9.0,0.0,1
2026-07-17,BALRAMCHIN.NS,81.0,81.0,0.0,1
